-0.009286,-0.016366,-0.00154
-0.0027741,-0.16101,0.012523
0.051261,-0.34437,0.1238
0.072161,-0.50576,0.22292
-0.011874,-0.61815,0.30224
-0.14655,-0.73161,0.37581
-0.28376,-0.87723,0.49429
-0.41027,-1.0078,0.59932
-0.43171,-1.1351,0.65487
-0.38818,-1.2289,0.74452
-0.40233,-1.3405,0.805
-0.3732,-1.5322,0.84859
-0.28101,-1.7373,0.90441
-0.23377,-1.9194,0.93992
-0.19308,-2.0913,0.97542
-0.10562,-2.2841,0.99621
-0.015914,-2.4651,1.0072
0.034073,-2.6556,1.0361
0.098622,-2.8496,1.0667
0.16056,-3.0473,1.092
0.22925,-3.2421,1.1086
0.30674,-3.3978,1.1286
0.3801,-3.5889,1.1442
0.46294,-3.801,1.1603
0.54829,-3.9863,1.1732
0.67154,-4.1577,1.1577
0.85941,-4.2958,1.1677
1.0465,-4.4105,1.1656
1.2392,-4.5452,1.1798
1.416,-4.6721,1.2487
1.4601,-4.8244,1.3577
1.4266,-4.8968,1.4675
1.3322,-5.0498,1.4933
1.3879,-5.2424,1.468
1.5543,-5.3613,1.4858
1.7362,-5.5921,1.5052
1.9821,-5.6337,1.5327
1.9947,-5.6928,1.5393
2.0089,-5.7969,1.5695
1.8532,-5.7372,1.5763
1.5024,-5.7443,1.5721
1.2123,-5.7437,1.5708
0.80872,-5.6495,1.5715
0.44112,-5.5653,1.5688
0.25562,-5.4742,1.5325
0.14165,-5.5098,1.4713
0.13146,-5.6527,1.4552
0.17179,-5.8479,1.3987
0.35115,-6.0988,1.377
0.52102,-6.2558,1.3503
0.59941,-6.5172,1.3686
0.84995,-6.8757,1.4625
1.2309,-7.2019,1.4651
1.4924,-7.4315,1.4662
1.5066,-7.5775,1.4874
1.4524,-7.5718,1.5222
1.298,-7.4282,1.5372
1.1555,-7.3538,1.504
1.2226,-7.4207,1.4044
1.3627,-7.5043,1.2955
1.4753,-7.6296,1.2934
1.7283,-7.8021,1.2704
1.8251,-7.9238,1.2203
1.8504,-7.995,1.1681
1.8359,-8.0246,1.1082
1.849,-8.2249,1.0178
2.0339,-8.7495,0.81429
2.2894,-9.3626,0.44842
2.572,-9.7495,-0.04788
2.8764,-10.178,-0.51724
3.0678,-10.702,-0.80236
3.258,-11.084,-1.1164
3.4344,-11.048,-1.6417
3.3419,-10.81,-2.2709
3.1939,-10.669,-2.6814
2.9297,-10.241,-3.0359
2.3797,-9.7114,-3.5267
1.8755,-9.5201,-3.9455
1.3083,-9.3268,-4.3309
0.60252,-9.0087,-4.862
-0.09412,-8.7986,-5.3844
-0.74626,-8.5217,-5.9371
-1.5348,-8.027,-6.5968
-2.5666,-7.5302,-7.2918
-3.6065,-7.0816,-7.9463
-4.6836,-6.5627,-8.486
-5.6629,-6.2687,-8.9299
-6.1759,-6.2001,-9.1789
-6.467,-6.1069,-9.367
-6.8891,-5.9543,-9.583
-7.2367,-5.7918,-9.7983
-7.3019,-5.5413,-10.05
-7.3776,-5.2744,-10.375
-7.4939,-5.0626,-10.68
-7.5835,-4.9685,-10.916
-7.607,-4.9631,-11.089
-7.6338,-5.0325,-11.187
-7.6747,-5.1957,-11.248
-7.6141,-5.3744,-11.282
-7.5418,-5.5904,-11.28
-7.4644,-5.821,-11.262
-7.3215,-6.0297,-11.294
-7.0954,-6.3057,-11.299
-6.7809,-6.5731,-11.254
-6.5541,-6.7629,-11.31
-6.3842,-7.0415,-11.299
-6.0047,-7.3611,-11.207
-5.6776,-7.6767,-11.086
-5.4167,-8.0273,-10.987
-5.0116,-8.3887,-10.868
-4.623,-8.645,-10.787
-4.4554,-8.8377,-10.798
-4.3744,-9.0298,-10.762
-4.2831,-9.2015,-10.721
-4.2276,-9.4051,-10.68
-4.1642,-9.596,-10.637
-4.0389,-9.7931,-10.61
-3.9061,-9.9759,-10.535
-3.7655,-10.093,-10.496
-3.6563,-10.259,-10.423
-3.4964,-10.454,-10.297
